Signal,Driver,Receiver,Failures,Domain
TR51_EXT_SYNC_P3V3 (Run A),U95-1,U95-4,tr=10.12ns (>10.0),P3V3
TR51_EXT_SYNC_P3V3 (Run B),LVC8T245 via R479,"U95-4,U95-1",Peak=3.619V (>3.6); Trough=-0.576V (<-0.3),P3V3
TR52_EXT_SYNC_P3V3 (Run A),U96-1,U96-4,tr=10.12ns (>10.0),P3V3
TR52_EXT_SYNC_P3V3 (Run B),LVC8T245 via R478,"U96-4,U96-1",Peak=3.619V (>3.6); Trough=-0.577V (<-0.3),P3V3
TR53_EXT_SYNC_P3V3 (Run A),U98-1,U98-4,tr=10.09ns (>10.0),P3V3
TR53_EXT_SYNC_P3V3 (Run B),LVC8T245 via R472,"U98-4,U98-1",Peak=3.607V (>3.6); Trough=-0.384V (<-0.3),P3V3
TR54_EXT_SYNC_P3V3 (Run A),U100-1,U100-4,tr=10.07ns (>10.0),P3V3
TR54_EXT_SYNC_P3V3 (Run B),LVC8T245 via R471,"U100-4,U100-1",Peak=3.610V (>3.6),P3V3
TR55_EXT_SYNC_P3V3 (Run A),U103-1,U103-4,tr=10.05ns (>10.0),P3V3
TR56_EXT_SYNC_P3V3 (Run A),U131-1,U131-4,tr=10.08ns (>10.0),P3V3
TR57_EXT_SYNC_P3V3 (Run A),U127-1,U127-4,tr=10.07ns (>10.0),P3V3
TR57_EXT_SYNC_P3V3 (Run B),LVC8T245 via R417,"U127-4,U127-1",Peak=3.609V (>3.6),P3V3
TR58_EXT_SYNC_P3V3 (Run A),U117-1,U117-4,tr=10.05ns (>10.0),P3V3
TR59_EXT_SYNC_P3V3 (Run A),U105-1,U105-4,tr=10.05ns (>10.0),P3V3
TR5_EXT_SYNC_P3V3 (Run A),U111-1,U111-4,tr=10.04ns (>10.0),P3V3
TR5_EXT_SYNC_P3V3 (Run B),LVC8T245 via R448,"U111-4,U111-1",Peak=3.669V (>3.6); Trough=-0.388V (<-0.3),P3V3
TR60_EXT_SYNC_P3V3 (Run A),U102-1,U102-4,tr=10.05ns (>10.0),P3V3
TR61_EXT_SYNC_P3V3 (Run A),U112-1,U112-4,tr=10.08ns (>10.0),P3V3
TR62_EXT_SYNC_P3V3 (Run A),U123-1,U123-4,tr=10.12ns (>10.0),P3V3
TR62_EXT_SYNC_P3V3 (Run B),LVC8T245 via R422,"U123-4,U123-1",Peak=3.619V (>3.6); Trough=-0.576V (<-0.3),P3V3
TR63_EXT_SYNC_P3V3 (Run A),U130-1,U130-4,tr=10.14ns (>10.0),P3V3
TR63_EXT_SYNC_P3V3 (Run B),LVC8T245 via R423,"U130-4,U130-1",Peak=3.765V (>3.6); Trough=-0.769V (<-0.3),P3V3
TR6_EXT_SYNC_P3V3 (Run A),U118-1,U118-4,tr=10.06ns (>10.0),P3V3
TR7_EXT_SYNC_P3V3 (Run A),U120-1,U120-4,tr=10.10ns (>10.0),P3V3
TR7_EXT_SYNC_P3V3 (Run B),LVC8T245 via R461,"U120-4,U120-1",Peak=3.624V (>3.6); Trough=-0.585V (<-0.3),P3V3
TR8_EXT_SYNC_P3V3 (Run A),U55-1,U55-4,tr=10.07ns (>10.0),P3V3
TR8_EXT_SYNC_P3V3 (Run B),LVC8T245 via R233,"U55-4,U55-1",Peak=3.611V (>3.6); Trough=-0.389V (<-0.3),P3V3
TR9_EXT_SYNC_P3V3 (Run A),U58-1,U58-4,tr=10.05ns (>10.0),P3V3
TR9_EXT_SYNC_P3V3 (Run B),LVC8T245 via R232,"U58-4,U58-1",Peak=3.611V (>3.6),P3V3
SYNC_EN0_P3V3,LVC8T245 via R315,"8×HVD75 pins 2,3 (16 loads)",Peak=4.798V (>3.6); Trough=-1.499V (<-0.3),P3V3
SYNC_EN1_P3V3,LVC8T245 via R314,"8×HVD75 pins 2,3 (16 loads)",Peak=4.844V (>3.6); Trough=-1.553V (<-0.3),P3V3
SYNC_EN2_P3V3,LVC8T245 via R313,"8×HVD75 pins 2,3 (16 loads)",Peak=4.791V (>3.6); Trough=-1.491V (<-0.3),P3V3
SYNC_EN3_P3V3,LVC8T245 via R312,"8×HVD75 pins 2,3 (16 loads)",Peak=4.839V (>3.6); Trough=-1.550V (<-0.3),P3V3
SYNC_EN4_P3V3,LVC8T245 via R311,"8×HVD75 pins 2,3 (16 loads)",Peak=4.807V (>3.6); Trough=-1.508V (<-0.3),P3V3
SYNC_EN5_P3V3,LVC8T245 via R310,"8×HVD75 pins 2,3 (16 loads)",Peak=4.415V (>3.6); Trough=-1.241V (<-0.3),P3V3
SYNC_EN6_P3V3,LVC8T245 via R309,"8×HVD75 pins 2,3 (16 loads)",Peak=4.680V (>3.6); Trough=-1.441V (<-0.3),P3V3
SYNC_EN7_P3V3,LVC8T245 via R308,"8×HVD75 pins 2,3 (16 loads)",Peak=4.564V (>3.6); Trough=-1.357V (<-0.3),P3V3
CBUS_TX_P3V3,LVC8T245 via R279,U135-4,Peak=4.884V (>3.6); Trough=-1.584V (<-0.3),P3V3
MBUS_TX_P3V3,LVC8T245 via R281,U132-4,Peak=4.881V (>3.6); Trough=-1.581V (<-0.3),P3V3
RXLO_MBUS_RX_P3V3,HVD75 R via R1256,U80-21,tr=10.06ns (>10.0),P3V3
TXLO_MBUS_RX_P3V3,HVD75 R via R193,U80-20,tr=10.06ns (>10.0),P3V3
CBUS_EN_P3V3,LVC8T245 via R278,"U135-2,U135-3",Peak=4.881V (>3.6); Trough=-1.581V (<-0.3),P3V3
MBUS_EN_P3V3,LVC8T245 via R280,"U132-2,U132-3",Peak=4.878V (>3.6); Trough=-1.578V (<-0.3),P3V3
LMK_RST_P3V3,LVC8T245 via R282,U77-5,NML=0.389V (<0.4); Peak=4.936V (>3.6); Trough=-1.636V (<-0.3),P3V3
LMK_PLL_SYNC_P3V3,LVC8T245 via R234,U77-6,NML=0.388V (<0.4); Peak=4.934V (>3.6); Trough=-1.634V (<-0.3),P3V3
TR10_EXT_SYNC_P1V8 (Run B),LVC8T245 via R267,U10-N14,Trough=-0.312V (<-0.3),P1V8
TR11_EXT_SYNC_P1V8 (Run B),LVC8T245 via R266,U10-N13,Trough=-0.312V (<-0.3),P1V8
TR12_EXT_SYNC_P1V8 (Run B),LVC8T245 via R265,U10-N16,Trough=-0.313V (<-0.3),P1V8
