net_name,run_id,driver_pin,driver_model,rx_pins,rx_model,n_rx,series_r,z0_avg,delay_ps,length_in,cap_pf,voh,vol,rise_time_ns,fall_time_ns,overshoot_pct,undershoot_pct,nmh,nml,peak_v,trough_v,gamma_source,settling_time_ns,notes
TR42_EXT_SYNC_P1V8,A,U10-BF42,FPGA_LVCMOS18,LVC8T245 via R249,LVC8T245_18,1,R249,45.9,953.2,6.232,20.8,1.728,0.072,5.8,5.78,0.0,0.0,0.46,0.505,1.728,0.072,0.4365,6.93,Outbound: FPGA → LVC8T245 A-port (via R)
TR42_EXT_SYNC_P1V8,B,LVC8T245 via R249,LVC8T245_18,U10-BF42,FPGA_LVCMOS18,1,R249,45.9,953.2,6.232,20.8,1.785,0.015,2.52,1.91,9.4,13.8,0.615,0.615,1.954,-0.234,-0.3382,5.28,Inbound: LVC8T245 A-port → FPGA (via R)
TR43_EXT_SYNC_P1V8,A,U10-BF43,FPGA_LVCMOS18,LVC8T245 via R248,LVC8T245_18,1,R248,45.9,938.3,6.134,20.5,1.728,0.072,5.69,5.67,0.0,0.0,0.46,0.505,1.728,0.072,0.4365,6.82,Outbound: FPGA → LVC8T245 A-port (via R)
TR43_EXT_SYNC_P1V8,B,LVC8T245 via R248,LVC8T245_18,U10-BF43,FPGA_LVCMOS18,1,R248,45.9,938.3,6.134,20.5,1.785,0.015,2.52,1.91,9.4,13.8,0.615,0.615,1.954,-0.234,-0.3382,5.39,Inbound: LVC8T245 A-port → FPGA (via R)
TR44_EXT_SYNC_P1V8,A,U10-BD39,FPGA_LVCMOS18,LVC8T245 via R247,LVC8T245_18,1,R247,46.0,954.4,6.249,20.8,1.728,0.072,5.79,5.77,0.0,0.0,0.461,0.506,1.728,0.072,0.4356,6.93,Outbound: FPGA → LVC8T245 A-port (via R)
TR44_EXT_SYNC_P1V8,B,LVC8T245 via R247,LVC8T245_18,U10-BD39,FPGA_LVCMOS18,1,R247,46.0,954.4,6.249,20.8,1.785,0.015,2.46,1.86,10.7,15.4,0.615,0.615,1.978,-0.263,-0.3392,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR45_EXT_SYNC_P1V8,A,U10-BD40,FPGA_LVCMOS18,LVC8T245 via R246,LVC8T245_18,1,R246,45.9,944.6,6.178,20.6,1.728,0.072,5.8,5.78,0.0,0.0,0.46,0.505,1.728,0.072,0.4365,6.93,Outbound: FPGA → LVC8T245 A-port (via R)
TR45_EXT_SYNC_P1V8,B,LVC8T245 via R246,LVC8T245_18,U10-BD40,FPGA_LVCMOS18,1,R246,45.9,944.6,6.178,20.6,1.785,0.015,2.52,1.91,9.4,13.8,0.615,0.615,1.954,-0.234,-0.3382,5.39,Inbound: LVC8T245 A-port → FPGA (via R)
TR46_EXT_SYNC_P1V8,A,U10-BC37,FPGA_LVCMOS18,LVC8T245 via R245,LVC8T245_18,1,R245,45.9,963.7,6.318,21.0,1.728,0.072,5.91,5.89,0.0,0.0,0.46,0.505,1.728,0.072,0.4365,7.04,Outbound: FPGA → LVC8T245 A-port (via R)
TR46_EXT_SYNC_P1V8,B,LVC8T245 via R245,LVC8T245_18,U10-BC37,FPGA_LVCMOS18,1,R245,45.9,963.7,6.318,21.0,1.785,0.015,2.46,1.87,10.7,15.4,0.615,0.615,1.977,-0.262,-0.3382,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR47_EXT_SYNC_P1V8,A,U10-BC38,FPGA_LVCMOS18,LVC8T245 via R244,LVC8T245_18,1,R244,46.0,951.5,6.235,20.7,1.728,0.072,5.79,5.77,0.0,0.0,0.461,0.506,1.728,0.072,0.4356,6.93,Outbound: FPGA → LVC8T245 A-port (via R)
TR47_EXT_SYNC_P1V8,B,LVC8T245 via R244,LVC8T245_18,U10-BC38,FPGA_LVCMOS18,1,R244,46.0,951.5,6.235,20.7,1.785,0.015,2.52,1.91,9.4,13.8,0.615,0.615,1.954,-0.234,-0.3392,5.28,Inbound: LVC8T245 A-port → FPGA (via R)
TR48_EXT_SYNC_P1V8,A,U10-AY11,FPGA_LVCMOS18,LVC8T245 via R489,LVC8T245_18,1,R489,45.6,1061.0,6.938,23.3,1.718,0.082,6.53,6.51,0.0,0.0,0.45,0.495,1.718,0.082,0.4391,7.7,Outbound: FPGA → LVC8T245 A-port (via R)
TR48_EXT_SYNC_P1V8,B,LVC8T245 via R489,LVC8T245_18,U10-AY11,FPGA_LVCMOS18,1,R489,45.6,1061.0,6.938,23.3,1.783,0.017,2.42,1.84,11.8,16.8,0.613,0.613,1.996,-0.285,-0.3353,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR49_EXT_SYNC_P1V8,A,U10-BA11,FPGA_LVCMOS18,LVC8T245 via R484,LVC8T245_18,1,R484,45.6,1061.0,6.938,23.3,1.718,0.082,6.53,6.51,0.0,0.0,0.45,0.495,1.718,0.082,0.4391,7.7,Outbound: FPGA → LVC8T245 A-port (via R)
TR49_EXT_SYNC_P1V8,B,LVC8T245 via R484,LVC8T245_18,U10-BA11,FPGA_LVCMOS18,1,R484,45.6,1061.0,6.938,23.3,1.783,0.017,2.42,1.84,11.8,16.8,0.613,0.613,1.996,-0.285,-0.3353,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR4_EXT_SYNC_P1V8,A,U10-G14,FPGA_LVCMOS18,LVC8T245 via R449,LVC8T245_18,1,R449,45.5,788.3,5.156,17.3,1.736,0.064,4.79,4.77,0.0,0.0,0.469,0.514,1.736,0.064,0.44,5.83,Outbound: FPGA → LVC8T245 A-port (via R)
TR4_EXT_SYNC_P1V8,B,LVC8T245 via R449,LVC8T245_18,U10-G14,FPGA_LVCMOS18,1,R449,45.5,788.3,5.156,17.3,1.787,0.013,2.68,2.06,7.8,9.0,0.617,0.617,1.927,-0.149,-0.3343,5.06,Inbound: LVC8T245 A-port → FPGA (via R)
TR50_EXT_SYNC_P1V8,A,U10-AU14,FPGA_LVCMOS18,LVC8T245 via R483,LVC8T245_18,1,R483,45.6,1004.0,6.565,22.1,1.722,0.078,6.06,6.04,0.0,0.0,0.455,0.5,1.722,0.078,0.4391,7.26,Outbound: FPGA → LVC8T245 A-port (via R)
TR50_EXT_SYNC_P1V8,B,LVC8T245 via R483,LVC8T245_18,U10-AU14,FPGA_LVCMOS18,1,R483,45.6,1004.0,6.565,22.1,1.784,0.016,2.47,1.87,10.6,15.2,0.614,0.614,1.975,-0.259,-0.3353,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR51_EXT_SYNC_P1V8,A,U10-AV14,FPGA_LVCMOS18,LVC8T245 via R477,LVC8T245_18,1,R477,45.6,1033.0,6.751,22.7,1.718,0.082,6.31,6.29,0.0,0.0,0.45,0.495,1.718,0.082,0.4391,7.48,Outbound: FPGA → LVC8T245 A-port (via R)
TR51_EXT_SYNC_P1V8,B,LVC8T245 via R477,LVC8T245_18,U10-AV14,FPGA_LVCMOS18,1,R477,45.6,1033.0,6.751,22.7,1.783,0.017,2.42,1.84,11.8,16.8,0.613,0.613,1.996,-0.285,-0.3353,5.61,Inbound: LVC8T245 A-port → FPGA (via R)
TR52_EXT_SYNC_P1V8,A,U10-AW15,FPGA_LVCMOS18,LVC8T245 via R476,LVC8T245_18,1,R476,45.6,995.1,6.511,21.8,1.722,0.078,6.06,6.04,0.0,0.0,0.455,0.5,1.722,0.078,0.4391,7.26,Outbound: FPGA → LVC8T245 A-port (via R)
TR52_EXT_SYNC_P1V8,B,LVC8T245 via R476,LVC8T245_18,U10-AW15,FPGA_LVCMOS18,1,R476,45.6,995.1,6.511,21.8,1.784,0.016,2.47,1.87,10.6,15.2,0.614,0.614,1.975,-0.259,-0.3353,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR53_EXT_SYNC_P1V8,A,U10-AY15,FPGA_LVCMOS18,LVC8T245 via R470,LVC8T245_18,1,R470,45.6,994.7,6.51,21.8,1.722,0.078,6.06,6.04,0.0,0.0,0.455,0.5,1.722,0.078,0.4391,7.26,Outbound: FPGA → LVC8T245 A-port (via R)
TR53_EXT_SYNC_P1V8,B,LVC8T245 via R470,LVC8T245_18,U10-AY15,FPGA_LVCMOS18,1,R470,45.6,994.7,6.51,21.8,1.784,0.016,2.47,1.87,10.6,15.2,0.614,0.614,1.975,-0.259,-0.3353,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR54_EXT_SYNC_P1V8,A,U10-AU13,FPGA_LVCMOS18,LVC8T245 via R469,LVC8T245_18,1,R469,45.7,1014.0,6.63,22.2,1.723,0.077,6.17,6.14,0.0,0.0,0.455,0.5,1.723,0.077,0.4382,7.37,Outbound: FPGA → LVC8T245 A-port (via R)
TR54_EXT_SYNC_P1V8,B,LVC8T245 via R469,LVC8T245_18,U10-AU13,FPGA_LVCMOS18,1,R469,45.7,1014.0,6.63,22.2,1.784,0.016,2.47,1.87,10.6,15.3,0.614,0.614,1.975,-0.259,-0.3363,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR55_EXT_SYNC_P1V8,A,U10-AV13,FPGA_LVCMOS18,LVC8T245 via R457,LVC8T245_18,1,R457,45.7,1013.0,6.628,22.2,1.723,0.077,6.17,6.14,0.0,0.0,0.455,0.5,1.723,0.077,0.4382,7.37,Outbound: FPGA → LVC8T245 A-port (via R)
TR55_EXT_SYNC_P1V8,B,LVC8T245 via R457,LVC8T245_18,U10-AV13,FPGA_LVCMOS18,1,R457,45.7,1013.0,6.628,22.2,1.784,0.016,2.47,1.87,10.6,15.3,0.614,0.614,1.975,-0.259,-0.3363,5.5,Inbound: LVC8T245 A-port → FPGA (via R)
TR56_EXT_SYNC_P1V8,A,U10-BF10,FPGA_LVCMOS18,LVC8T245 via R383,LVC8T245_18,1,R383,45.3,243.7,1.612,5.4,1.782,0.018,1.59,1.57,0.0,0.0,0.514,0.559,1.782,0.018,0.4418,2.31,Outbound: FPGA → LVC8T245 A-port (via R)
TR56_EXT_SYNC_P1V8,B,LVC8T245 via R383,LVC8T245_18,U10-BF10,FPGA_LVCMOS18,1,R383,45.3,243.7,1.612,5.4,1.796,0.004,2.92,2.38,0.6,0.7,0.626,0.626,1.807,-0.009,-0.3324,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR57_EXT_SYNC_P1V8,A,U10-BF9,FPGA_LVCMOS18,LVC8T245 via R384,LVC8T245_18,1,R384,45.4,237.0,1.566,5.2,1.782,0.018,1.56,1.53,0.0,0.0,0.515,0.56,1.782,0.018,0.4409,2.2,Outbound: FPGA → LVC8T245 A-port (via R)
TR57_EXT_SYNC_P1V8,B,LVC8T245 via R384,LVC8T245_18,U10-BF9,FPGA_LVCMOS18,1,R384,45.4,237.0,1.566,5.2,1.797,0.003,2.9,2.36,1.0,1.2,0.627,0.627,1.814,-0.018,-0.3333,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR58_EXT_SYNC_P1V8,A,U10-BC7,FPGA_LVCMOS18,LVC8T245 via R385,LVC8T245_18,1,R385,45.2,227.0,1.497,5.0,1.783,0.017,1.51,1.49,0.0,0.0,0.515,0.56,1.783,0.017,0.4427,2.2,Outbound: FPGA → LVC8T245 A-port (via R)
TR58_EXT_SYNC_P1V8,B,LVC8T245 via R385,LVC8T245_18,U10-BC7,FPGA_LVCMOS18,1,R385,45.2,227.0,1.497,5.0,1.797,0.003,2.9,2.36,0.9,1.1,0.627,0.627,1.812,-0.016,-0.3314,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR59_EXT_SYNC_P1V8,A,U10-BD7,FPGA_LVCMOS18,LVC8T245 via R386,LVC8T245_18,1,R386,45.4,221.1,1.458,4.9,1.783,0.017,1.5,1.48,0.0,0.0,0.516,0.561,1.783,0.017,0.4409,2.2,Outbound: FPGA → LVC8T245 A-port (via R)
TR59_EXT_SYNC_P1V8,B,LVC8T245 via R386,LVC8T245_18,U10-BD7,FPGA_LVCMOS18,1,R386,45.4,221.1,1.458,4.9,1.797,0.003,2.9,2.36,0.9,1.1,0.627,0.627,1.813,-0.016,-0.3333,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
TR5_EXT_SYNC_P1V8,A,U10-G13,FPGA_LVCMOS18,LVC8T245 via R450,LVC8T245_18,1,R450,45.5,763.8,5.004,16.8,1.741,0.059,4.65,4.64,0.0,0.0,0.473,0.518,1.741,0.059,0.44,5.72,Outbound: FPGA → LVC8T245 A-port (via R)
TR5_EXT_SYNC_P1V8,B,LVC8T245 via R450,LVC8T245_18,U10-G13,FPGA_LVCMOS18,1,R450,45.5,763.8,5.004,16.8,1.788,0.012,2.67,2.06,7.8,9.0,0.618,0.618,1.928,-0.151,-0.3343,4.95,Inbound: LVC8T245 A-port → FPGA (via R)
TR60_EXT_SYNC_P1V8,A,U10-BD9,FPGA_LVCMOS18,LVC8T245 via R387,LVC8T245_18,1,R387,45.5,234.2,1.542,5.2,1.782,0.018,1.5,1.48,0.0,0.0,0.515,0.56,1.782,0.018,0.44,2.2,Outbound: FPGA → LVC8T245 A-port (via R)
TR60_EXT_SYNC_P1V8,B,LVC8T245 via R387,LVC8T245_18,U10-BD9,FPGA_LVCMOS18,1,R387,45.5,234.2,1.542,5.2,1.796,0.004,2.91,2.37,0.8,1.0,0.626,0.626,1.812,-0.015,-0.3343,3.63,Inbound: LVC8T245 A-port → FPGA (via R)
